catalogue_index	tf_symbol	present_in_rna	exclusion_reason	reference_name	reference_version
358	HMG20A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
359	HMG20B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
360	HMGA1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
362	HMGN3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
363	HMX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
364	HMX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
365	HMX3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
366	HNF1A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
367	HNF1B	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
368	HNF4A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
369	HNF4G	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
370	HOMEZ	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
371	HOXA1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
372	HOXA10	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
373	HOXA11	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
374	HOXA13	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
375	HOXA2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
