tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
HOXC6	HOXC6	398	Lambert_human_TFs	v1.01
HOXC8	HOXC8	399	Lambert_human_TFs	v1.01
HOXC9	HOXC9	400	Lambert_human_TFs	v1.01
HOXD1	HOXD1	401	Lambert_human_TFs	v1.01
HOXD10	HOXD10	402	Lambert_human_TFs	v1.01
HOXD11	HOXD11	403	Lambert_human_TFs	v1.01
HOXD12	HOXD12	404	Lambert_human_TFs	v1.01
HOXD13	HOXD13	405	Lambert_human_TFs	v1.01
HOXD3	HOXD3	406	Lambert_human_TFs	v1.01
HOXD4	HOXD4	407	Lambert_human_TFs	v1.01
HOXD8	HOXD8	408	Lambert_human_TFs	v1.01
HOXD9	HOXD9	409	Lambert_human_TFs	v1.01
HSF1	HSF1	410	Lambert_human_TFs	v1.01
HSF2	HSF2	411	Lambert_human_TFs	v1.01
HSF4	HSF4	412	Lambert_human_TFs	v1.01
HSF5	HSF5	413	Lambert_human_TFs	v1.01
HSFX1	HSFX1	414	Lambert_human_TFs	v1.01
HSFX2	HSFX2	415	Lambert_human_TFs	v1.01
HSFY1	HSFY1	416	Lambert_human_TFs	v1.01
HSFY2	HSFY2	417	Lambert_human_TFs	v1.01
IKZF1	IKZF1	418	Lambert_human_TFs	v1.01
IKZF2	IKZF2	419	Lambert_human_TFs	v1.01
IKZF3	IKZF3	420	Lambert_human_TFs	v1.01
IKZF4	IKZF4	421	Lambert_human_TFs	v1.01
IKZF5	IKZF5	422	Lambert_human_TFs	v1.01
INSM1	INSM1	423	Lambert_human_TFs	v1.01
INSM2	INSM2	424	Lambert_human_TFs	v1.01
IRF1	IRF1	425	Lambert_human_TFs	v1.01
IRF2	IRF2	426	Lambert_human_TFs	v1.01
IRF3	IRF3	427	Lambert_human_TFs	v1.01
IRF4	IRF4	428	Lambert_human_TFs	v1.01
IRF5	IRF5	429	Lambert_human_TFs	v1.01
IRF6	IRF6	430	Lambert_human_TFs	v1.01
IRF7	IRF7	431	Lambert_human_TFs	v1.01
IRF8	IRF8	432	Lambert_human_TFs	v1.01
IRF9	IRF9	433	Lambert_human_TFs	v1.01
IRX1	IRX1	434	Lambert_human_TFs	v1.01
IRX2	IRX2	435	Lambert_human_TFs	v1.01
IRX3	IRX3	436	Lambert_human_TFs	v1.01
IRX4	IRX4	437	Lambert_human_TFs	v1.01
IRX5	IRX5	438	Lambert_human_TFs	v1.01
IRX6	IRX6	439	Lambert_human_TFs	v1.01
ISL1	ISL1	440	Lambert_human_TFs	v1.01
ISL2	ISL2	441	Lambert_human_TFs	v1.01
ISX	ISX	442	Lambert_human_TFs	v1.01
JAZF1	JAZF1	443	Lambert_human_TFs	v1.01
JDP2	JDP2	444	Lambert_human_TFs	v1.01
JRK	JRK	445	Lambert_human_TFs	v1.01
JRKL	JRKL	446	Lambert_human_TFs	v1.01
JUN	JUN	447	Lambert_human_TFs	v1.01
JUNB	JUNB	448	Lambert_human_TFs	v1.01
JUND	JUND	449	Lambert_human_TFs	v1.01
KAT7	KAT7	450	Lambert_human_TFs	v1.01
KCMF1	KCMF1	451	Lambert_human_TFs	v1.01
KCNIP3	KCNIP3	452	Lambert_human_TFs	v1.01
KDM2A	KDM2A	453	Lambert_human_TFs	v1.01
KDM2B	KDM2B	454	Lambert_human_TFs	v1.01
KDM5B	KDM5B	455	Lambert_human_TFs	v1.01
KIN	KIN	456	Lambert_human_TFs	v1.01
KLF1	KLF1	457	Lambert_human_TFs	v1.01
KLF10	KLF10	458	Lambert_human_TFs	v1.01
KLF11	KLF11	459	Lambert_human_TFs	v1.01
KLF12	KLF12	460	Lambert_human_TFs	v1.01
KLF13	KLF13	461	Lambert_human_TFs	v1.01
KLF14	KLF14	462	Lambert_human_TFs	v1.01
KLF15	KLF15	463	Lambert_human_TFs	v1.01
KLF16	KLF16	464	Lambert_human_TFs	v1.01
KLF17	KLF17	465	Lambert_human_TFs	v1.01
KLF2	KLF2	466	Lambert_human_TFs	v1.01
KLF3	KLF3	467	Lambert_human_TFs	v1.01
KLF4	KLF4	468	Lambert_human_TFs	v1.01
